full_name,ros_distro,n_packages_in_distro,repo_url_normalized,host
IMRCLab/motion_capture_tracking,humble,2,https://github.com/IMRCLab/motion_capture_tracking,github.com
Ikerlan-KER/extrinsic_calibrator,humble,3,https://github.com/Ikerlan-KER/extrinsic_calibrator,github.com
IntelRealSense/librealsense,humble,1,https://github.com/IntelRealSense/librealsense,github.com
IntelRealSense/realsense-ros,humble,5,https://github.com/IntelRealSense/realsense-ros,github.com
IntelligentRoboticsLabs/ros2_planning_system,humble,13,https://github.com/IntelligentRoboticsLabs/ros2_planning_system,github.com
JafarAbdi/feetech_ros2_driver,humble,1,https://github.com/JafarAbdi/feetech_ros2_driver,github.com
JafarAbdi/jacro,humble,1,https://github.com/JafarAbdi/jacro,github.com
Jannkar/turtle_nest,humble,1,https://github.com/Jannkar/turtle_nest,github.com
KIT-MRT/mrt_cmake_modules,humble,1,https://github.com/KIT-MRT/mrt_cmake_modules,github.com
Kinovarobotics/ros2_kortex,humble,7,https://github.com/Kinovarobotics/ros2_kortex,github.com
KumarRobotics/ublox,humble,4,https://github.com/KumarRobotics/ublox,github.com
LOEWE-emergenCITY/ros2_babel_fish,humble,2,https://github.com/LOEWE-emergenCITY/ros2_babel_fish,github.com
LORD-MicroStrain/microstrain_inertial,humble,5,https://github.com/LORD-MicroStrain/microstrain_inertial,github.com
LORD-MicroStrain/ntrip_client,humble,1,https://github.com/LORD-MicroStrain/ntrip_client,github.com
LeoRover/leo_common-ros2,humble,4,https://github.com/LeoRover/leo_common-ros2,github.com
LeoRover/leo_desktop-ros2,humble,2,https://github.com/LeoRover/leo_desktop-ros2,github.com
LeoRover/leo_robot-ros2,humble,4,https://github.com/LeoRover/leo_robot-ros2,github.com
LeoRover/leo_simulator-ros2,humble,4,https://github.com/LeoRover/leo_simulator-ros2,github.com
MOCAP4ROS2-Project/mocap4r2,humble,9,https://github.com/MOCAP4ROS2-Project/mocap4r2,github.com
MOCAP4ROS2-Project/mocap4r2_msgs,humble,1,https://github.com/MOCAP4ROS2-Project/mocap4r2_msgs,github.com
MOLAorg/mola,humble,22,https://github.com/MOLAorg/mola,github.com
MOLAorg/mola_common,humble,1,https://github.com/MOLAorg/mola_common,github.com
MOLAorg/mola_gnss_to_markers,humble,1,https://github.com/MOLAorg/mola_gnss_to_markers,github.com
MOLAorg/mola_imu_preintegration,humble,1,https://github.com/MOLAorg/mola_imu_preintegration,github.com
MOLAorg/mola_lidar_odometry,humble,1,https://github.com/MOLAorg/mola_lidar_odometry,github.com
MOLAorg/mola_sm_loop_closure,humble,1,https://github.com/MOLAorg/mola_sm_loop_closure,github.com
MOLAorg/mola_state_estimation,humble,5,https://github.com/MOLAorg/mola_state_estimation,github.com
MOLAorg/mola_test_datasets,humble,1,https://github.com/MOLAorg/mola_test_datasets,github.com
MOLAorg/mp2p_icp,humble,1,https://github.com/MOLAorg/mp2p_icp,github.com
MRPT/mrpt_path_planning,humble,1,https://github.com/MRPT/mrpt_path_planning,github.com
MRPT/mrpt_ros,humble,13,https://github.com/MRPT/mrpt_ros,github.com
MRPT/mrpt_ros_bridge,humble,2,https://github.com/MRPT/mrpt_ros_bridge,github.com
MRPT/mvsim,humble,1,https://github.com/MRPT/mvsim,github.com
MRPT/python_mrpt_ros,humble,1,https://github.com/MRPT/python_mrpt_ros,github.com
MarvelmindRobotics/marvelmind_ros2_msgs_release,humble,1,https://github.com/MarvelmindRobotics/marvelmind_ros2_msgs_release,github.com
MarvelmindRobotics/marvelmind_ros2_upstream,humble,1,https://github.com/MarvelmindRobotics/marvelmind_ros2_upstream,github.com
MetroRobots/classic_bags,humble,1,https://github.com/MetroRobots/classic_bags,github.com
MetroRobots/color_util,humble,1,https://github.com/MetroRobots/color_util,github.com
MetroRobots/metrics_msgs,humble,3,https://github.com/MetroRobots/metrics_msgs,github.com
MetroRobots/metro_gazebo_plugins,humble,1,https://github.com/MetroRobots/metro_gazebo_plugins,github.com
MetroRobots/metro_nav,humble,3,https://github.com/MetroRobots/metro_nav,github.com
MetroRobots/polygon_ros,humble,4,https://github.com/MetroRobots/polygon_ros,github.com
MetroRobots/ros_system_fingerprint,humble,1,https://github.com/MetroRobots/ros_system_fingerprint,github.com
MetroRobots/social_nav_ros,humble,3,https://github.com/MetroRobots/social_nav_ros,github.com
MetroRobots/the_navigation_gauntlet,humble,1,https://github.com/MetroRobots/the_navigation_gauntlet,github.com
MoffKalast/vizanti,humble,5,https://github.com/MoffKalast/vizanti,github.com
NVIDIA-ISAAC-ROS/greenwave_monitor,humble,2,https://github.com/NVIDIA-ISAAC-ROS/greenwave_monitor,github.com
Nathan85001/imu_calib,humble,1,https://github.com/Nathan85001/imu_calib,github.com
Neargye/magic_enum,humble,1,https://github.com/Neargye/magic_enum,github.com
OUXT-Polaris/boost_geometry_util,humble,1,https://github.com/OUXT-Polaris/boost_geometry_util,github.com
OUXT-Polaris/nmea_hardware_interface,humble,1,https://github.com/OUXT-Polaris/nmea_hardware_interface,github.com
OUXT-Polaris/ouxt_common,humble,2,https://github.com/OUXT-Polaris/ouxt_common,github.com
OUXT-Polaris/quaternion_operation,humble,1,https://github.com/OUXT-Polaris/quaternion_operation,github.com
OUXT-Polaris/sol_vendor,humble,1,https://github.com/OUXT-Polaris/sol_vendor,github.com
OctoMap/octomap_mapping,humble,2,https://github.com/OctoMap/octomap_mapping,github.com
OctoMap/octomap_ros,humble,1,https://github.com/OctoMap/octomap_ros,github.com
OctoMap/octomap_rviz_plugins,humble,1,https://github.com/OctoMap/octomap_rviz_plugins,github.com
OrebroUniversity/mod,humble,1,https://github.com/OrebroUniversity/mod,github.com
PRBonn/rko_lio,humble,1,https://github.com/PRBonn/rko_lio,github.com
PX4/px4_msgs,humble,1,https://github.com/PX4/px4_msgs,github.com
PickNikRobotics/RSL,humble,1,https://github.com/PickNikRobotics/RSL,github.com
PickNikRobotics/affordance_primitives,humble,1,https://github.com/PickNikRobotics/affordance_primitives,github.com
PickNikRobotics/cpp_polyfills,humble,2,https://github.com/PickNikRobotics/cpp_polyfills,github.com
PickNikRobotics/data_tamer,humble,2,https://github.com/PickNikRobotics/data_tamer,github.com
PickNikRobotics/generate_parameter_library,humble,7,https://github.com/PickNikRobotics/generate_parameter_library,github.com
PickNikRobotics/graph_msgs,humble,1,https://github.com/PickNikRobotics/graph_msgs,github.com
PickNikRobotics/launch_param_builder,humble,1,https://github.com/PickNikRobotics/launch_param_builder,github.com
PickNikRobotics/pick_ik,humble,1,https://github.com/PickNikRobotics/pick_ik,github.com
PickNikRobotics/picknik_controllers,humble,2,https://github.com/PickNikRobotics/picknik_controllers,github.com
PickNikRobotics/ros2_robotiq_gripper,humble,4,https://github.com/PickNikRobotics/ros2_robotiq_gripper,github.com
PickNikRobotics/rviz_visual_tools,humble,1,https://github.com/PickNikRobotics/rviz_visual_tools,github.com
PickNikRobotics/snowbot_operating_system,humble,1,https://github.com/PickNikRobotics/snowbot_operating_system,github.com
PlotJuggler/plotjuggler-ros-plugins,humble,1,https://github.com/PlotJuggler/plotjuggler-ros-plugins,github.com
ROBOTIS-GIT/DynamixelSDK,humble,3,https://github.com/ROBOTIS-GIT/DynamixelSDK,github.com
ROBOTIS-GIT/coin_d4_driver,humble,1,https://github.com/ROBOTIS-GIT/coin_d4_driver,github.com
ROBOTIS-GIT/dynamixel-workbench,humble,2,https://github.com/ROBOTIS-GIT/dynamixel-workbench,github.com
ROBOTIS-GIT/dynamixel-workbench-msgs,humble,1,https://github.com/ROBOTIS-GIT/dynamixel-workbench-msgs,github.com
ROBOTIS-GIT/dynamixel_hardware_interface,humble,1,https://github.com/ROBOTIS-GIT/dynamixel_hardware_interface,github.com
ROBOTIS-GIT/dynamixel_interfaces,humble,1,https://github.com/ROBOTIS-GIT/dynamixel_interfaces,github.com
ROBOTIS-GIT/hls_lfcd_lds_driver,humble,1,https://github.com/ROBOTIS-GIT/hls_lfcd_lds_driver,github.com
ROBOTIS-GIT/ld08_driver,humble,1,https://github.com/ROBOTIS-GIT/ld08_driver,github.com
ROBOTIS-GIT/open_manipulator,humble,7,https://github.com/ROBOTIS-GIT/open_manipulator,github.com
ROBOTIS-GIT/turtlebot3,humble,8,https://github.com/ROBOTIS-GIT/turtlebot3,github.com
ROBOTIS-GIT/turtlebot3_applications,humble,7,https://github.com/ROBOTIS-GIT/turtlebot3_applications,github.com
ROBOTIS-GIT/turtlebot3_applications_msgs,humble,1,https://github.com/ROBOTIS-GIT/turtlebot3_applications_msgs,github.com
ROBOTIS-GIT/turtlebot3_autorace,humble,4,https://github.com/ROBOTIS-GIT/turtlebot3_autorace,github.com
ROBOTIS-GIT/turtlebot3_home_service_challenge,humble,5,https://github.com/ROBOTIS-GIT/turtlebot3_home_service_challenge,github.com
ROBOTIS-GIT/turtlebot3_machine_learning,humble,2,https://github.com/ROBOTIS-GIT/turtlebot3_machine_learning,github.com
ROBOTIS-GIT/turtlebot3_manipulation,humble,8,https://github.com/ROBOTIS-GIT/turtlebot3_manipulation,github.com
ROBOTIS-GIT/turtlebot3_msgs,humble,1,https://github.com/ROBOTIS-GIT/turtlebot3_msgs,github.com
ROBOTIS-GIT/turtlebot3_simulations,humble,4,https://github.com/ROBOTIS-GIT/turtlebot3_simulations,github.com
RobotWebTools/rosbridge_suite,humble,7,https://github.com/RobotWebTools/rosbridge_suite,github.com
RobotWebTools/tf2_web_republisher,humble,2,https://github.com/RobotWebTools/tf2_web_republisher,github.com
RobotWebTools/web_video_server,humble,1,https://github.com/RobotWebTools/web_video_server,github.com
RobotecAI/rai_interfaces,humble,1,https://github.com/RobotecAI/rai_interfaces,github.com
SBG-Systems/sbg_ros2,humble,1,https://github.com/SBG-Systems/sbg_ros2,github.com
SCHUNK-GmbH-Co-KG/schunk_svh_library,humble,1,https://github.com/SCHUNK-GmbH-Co-KG/schunk_svh_library,github.com
SICKAG/sick_safetyscanners2,humble,1,https://github.com/SICKAG/sick_safetyscanners2,github.com
SICKAG/sick_safetyscanners2_interfaces,humble,1,https://github.com/SICKAG/sick_safetyscanners2_interfaces,github.com
SICKAG/sick_safetyscanners_base,humble,1,https://github.com/SICKAG/sick_safetyscanners_base,github.com
SICKAG/sick_safevisionary_base,humble,1,https://github.com/SICKAG/sick_safevisionary_base,github.com
SICKAG/sick_safevisionary_ros2,humble,3,https://github.com/SICKAG/sick_safevisionary_ros2,github.com
SICKAG/sick_scan_xd,humble,1,https://github.com/SICKAG/sick_scan_xd,github.com
SMRT-AIST/fast_gicp,humble,1,https://github.com/SMRT-AIST/fast_gicp,github.com
Simple-Robotics/nanoeigenpy,humble,1,https://github.com/Simple-Robotics/nanoeigenpy,github.com
Simple-Robotics/proxsuite,humble,1,https://github.com/Simple-Robotics/proxsuite,github.com
Slamtec/rplidar_ros,humble,1,https://github.com/Slamtec/rplidar_ros,github.com
StefanFabian/qml6_ros2_plugin,humble,1,https://github.com/StefanFabian/qml6_ros2_plugin,github.com
StefanFabian/qml_ros2_plugin,humble,1,https://github.com/StefanFabian/qml_ros2_plugin,github.com
SteveMacenski/nonpersistent_voxel_layer-release,humble,1,https://github.com/SteveMacenski/nonpersistent_voxel_layer-release,github.com
SteveMacenski/ros2_ouster_drivers,humble,2,https://github.com/SteveMacenski/ros2_ouster_drivers,github.com
SteveMacenski/slam_toolbox,humble,1,https://github.com/SteveMacenski/slam_toolbox,github.com
SteveMacenski/spatio_temporal_voxel_layer,humble,2,https://github.com/SteveMacenski/spatio_temporal_voxel_layer,github.com
THA-Embedded-Systems-Lab/soar_ros,humble,1,https://github.com/THA-Embedded-Systems-Lab/soar_ros,github.com
Tacha-S/sync_parameter_server,humble,1,https://github.com/Tacha-S/sync_parameter_server,github.com
Tanneguydv/tf_tree_terminal,humble,1,https://github.com/Tanneguydv/tf_tree_terminal,github.com
TechMagicKK/aandd_ekew_driver_py,humble,1,https://github.com/TechMagicKK/aandd_ekew_driver_py,github.com
TechMagicKK/weight_scale_interfaces,humble,1,https://github.com/TechMagicKK/weight_scale_interfaces,github.com
ToyotaResearchInstitute/gauges2,humble,1,https://github.com/ToyotaResearchInstitute/gauges2,github.com
UniversalRobots/Universal_Robots_Client_Library,humble,1,https://github.com/UniversalRobots/Universal_Robots_Client_Library,github.com
UniversalRobots/Universal_Robots_ROS2_Description,humble,1,https://github.com/UniversalRobots/Universal_Robots_ROS2_Description,github.com
UniversalRobots/Universal_Robots_ROS2_Driver,humble,7,https://github.com/UniversalRobots/Universal_Robots_ROS2_Driver,github.com
UniversalRobots/Universal_Robots_ROS2_GZ_Simulation,humble,1,https://github.com/UniversalRobots/Universal_Robots_ROS2_GZ_Simulation,github.com
UniversalRobots/urinterfaces,humble,1,https://github.com/UniversalRobots/urinterfaces,github.com
aerostack2/aerostack2,humble,28,https://github.com/aerostack2/aerostack2,github.com
aerostack2/as2_platform_crazyflie,humble,1,https://github.com/aerostack2/as2_platform_crazyflie,github.com
aerostack2/as2_platform_dji_osdk,humble,1,https://github.com/aerostack2/as2_platform_dji_osdk,github.com
aerostack2/as2_platform_dji_psdk,humble,1,https://github.com/aerostack2/as2_platform_dji_psdk,github.com
aerostack2/as2_platform_mavlink,humble,1,https://github.com/aerostack2/as2_platform_mavlink,github.com
aerostack2/as2_platform_pixhawk,humble,1,https://github.com/aerostack2/as2_platform_pixhawk,github.com
aerostack2/as2_platform_tello,humble,1,https://github.com/aerostack2/as2_platform_tello,github.com
ajtudela/laser_segmentation,humble,1,https://github.com/ajtudela/laser_segmentation,github.com
ajtudela/sicks300_ros2,humble,1,https://github.com/ajtudela/sicks300_ros2,github.com
ajtudela/slg_msgs,humble,1,https://github.com/ajtudela/slg_msgs,github.com
alliedvision/vimbax_ros2_driver,humble,5,https://github.com/alliedvision/vimbax_ros2_driver,github.com
alvinsunyixiao/vrpn_mocap,humble,1,https://github.com/alvinsunyixiao/vrpn_mocap,github.com
ament/ament_cmake,humble,23,https://github.com/ament/ament_cmake,github.com
ament/ament_index,humble,2,https://github.com/ament/ament_index,github.com
ament/ament_lint,humble,31,https://github.com/ament/ament_lint,github.com
ament/ament_package,humble,1,https://github.com/ament/ament_package,github.com
ament/google_benchmark_vendor,humble,1,https://github.com/ament/google_benchmark_vendor,github.com
ament/googletest,humble,2,https://github.com/ament/googletest,github.com
ament/uncrustify_vendor,humble,1,https://github.com/ament/uncrustify_vendor,github.com
analogdevicesinc/adi_3dtof_adtf31xx,humble,1,https://github.com/analogdevicesinc/adi_3dtof_adtf31xx,github.com
analogdevicesinc/adi_3dtof_image_stitching,humble,1,https://github.com/analogdevicesinc/adi_3dtof_image_stitching,github.com
analogdevicesinc/adi_tmc_coe_ros2,humble,3,https://github.com/analogdevicesinc/adi_tmc_coe_ros2,github.com
analogdevicesinc/iio_ros2,humble,1,https://github.com/analogdevicesinc/iio_ros2,github.com
analogdevicesinc/imu_ros2,humble,1,https://github.com/analogdevicesinc/imu_ros2,github.com
analogdevicesinc/libaditof,humble,1,https://github.com/analogdevicesinc/libaditof,github.com
analogdevicesinc/tmcl_ros2,humble,1,https://github.com/analogdevicesinc/tmcl_ros2,github.com
apl-ocean-engineering/marine_msgs,humble,2,https://github.com/apl-ocean-engineering/marine_msgs,github.com
astuff/astuff_sensor_msgs,humble,8,https://github.com/astuff/astuff_sensor_msgs,github.com
astuff/automotive_autonomy_msgs,humble,3,https://github.com/astuff/automotive_autonomy_msgs,github.com
astuff/avt_vimba_camera,humble,2,https://github.com/astuff/avt_vimba_camera,github.com
astuff/network_interface,humble,1,https://github.com/astuff/network_interface,github.com
aussierobots/ublox_dgnss,humble,6,https://github.com/aussierobots/ublox_dgnss,github.com
automatika-robotics/kompass,humble,2,https://github.com/automatika-robotics/kompass,github.com
automatika-robotics/ros-agents,humble,1,https://github.com/automatika-robotics/ros-agents,github.com
automatika-robotics/ros-sugar,humble,1,https://github.com/automatika-robotics/ros-sugar,github.com
autowarefoundation/autoware_adapi_msgs,humble,2,https://github.com/autowarefoundation/autoware_adapi_msgs,github.com
autowarefoundation/autoware_cmake,humble,2,https://github.com/autowarefoundation/autoware_cmake,github.com
autowarefoundation/autoware_core,humble,69,https://github.com/autowarefoundation/autoware_core,github.com
autowarefoundation/autoware_internal_msgs,humble,6,https://github.com/autowarefoundation/autoware_internal_msgs,github.com
autowarefoundation/autoware_lanelet2_extension,humble,2,https://github.com/autowarefoundation/autoware_lanelet2_extension,github.com
autowarefoundation/autoware_msgs,humble,11,https://github.com/autowarefoundation/autoware_msgs,github.com
autowarefoundation/autoware_rviz_plugins,humble,6,https://github.com/autowarefoundation/autoware_rviz_plugins,github.com
autowarefoundation/autoware_utils,humble,12,https://github.com/autowarefoundation/autoware_utils,github.com
autowarefoundation/ros2_socketcan,humble,2,https://github.com/autowarefoundation/ros2_socketcan,github.com
autowarefoundation/tvm_vendor,humble,1,https://github.com/autowarefoundation/tvm_vendor,github.com
autowarefoundation/zmqpp_vendor,humble,1,https://github.com/autowarefoundation/zmqpp_vendor,github.com
aws-robotics/aws-robomaker-small-warehouse-world,humble,1,https://github.com/aws-robotics/aws-robomaker-small-warehouse-world,github.com
bdaiinstitute/proto2ros,humble,2,https://github.com/bdaiinstitute/proto2ros,github.com
bdaiinstitute/synchros2,humble,3,https://github.com/bdaiinstitute/synchros2,github.com
blackcoffeerobotics/bcr_arm,humble,5,https://github.com/blackcoffeerobotics/bcr_arm,github.com
blackcoffeerobotics/bcr_bot,humble,1,https://github.com/blackcoffeerobotics/bcr_bot,github.com
blackcoffeerobotics/vector_pursuit_controller,humble,1,https://github.com/blackcoffeerobotics/vector_pursuit_controller,github.com
bnbhat/bno08x_ros2_driver,humble,1,https://github.com/bnbhat/bno08x_ros2_driver,github.com
bob-ros2/bob_llm,humble,1,https://github.com/bob-ros2/bob_llm,github.com
borglab/gtsam,humble,1,https://github.com/borglab/gtsam,github.com
bosch-engineering/off_highway_sensor_drivers,humble,15,https://github.com/bosch-engineering/off_highway_sensor_drivers,github.com
boschglobal/locator_ros_bridge,humble,3,https://github.com/boschglobal/locator_ros_bridge,github.com
boschresearch/fmi_adapter,humble,2,https://github.com/boschresearch/fmi_adapter,github.com
boschresearch/fmilibrary_vendor,humble,1,https://github.com/boschresearch/fmilibrary_vendor,github.com
botsandus/ament_black,humble,2,https://github.com/botsandus/ament_black,github.com
brow1633/network_bridge,humble,1,https://github.com/brow1633/network_bridge,github.com
carologistics/clips_vendor,humble,1,https://github.com/carologistics/clips_vendor,github.com
chapulina/dolly,humble,5,https://github.com/chapulina/dolly,github.com
christianrauch/apriltag_msgs,humble,1,https://github.com/christianrauch/apriltag_msgs,github.com
christianrauch/apriltag_ros,humble,1,https://github.com/christianrauch/apriltag_ros,github.com
christianrauch/camera_ros,humble,1,https://github.com/christianrauch/camera_ros,github.com
clalancette/sophus,humble,1,https://github.com/clalancette/sophus,github.com
clearpath-gbp/clearpath_mecanum_drive_controller-release,humble,1,https://github.com/clearpath-gbp/clearpath_mecanum_drive_controller-release,github.com
clearpathrobotics/LMS1xx,humble,1,https://github.com/clearpathrobotics/LMS1xx,github.com
clearpathrobotics/clearpath_common,humble,10,https://github.com/clearpathrobotics/clearpath_common,github.com
clearpathrobotics/clearpath_config,humble,1,https://github.com/clearpathrobotics/clearpath_config,github.com
clearpathrobotics/clearpath_desktop,humble,3,https://github.com/clearpathrobotics/clearpath_desktop,github.com
clearpathrobotics/clearpath_msgs,humble,2,https://github.com/clearpathrobotics/clearpath_msgs,github.com
clearpathrobotics/clearpath_nav2_demos,humble,1,https://github.com/clearpathrobotics/clearpath_nav2_demos,github.com
clearpathrobotics/clearpath_ros2_socketcan_interface,humble,1,https://github.com/clearpathrobotics/clearpath_ros2_socketcan_interface,github.com
clearpathrobotics/clearpath_simulator,humble,3,https://github.com/clearpathrobotics/clearpath_simulator,github.com
clearpathrobotics/ewellix_lift_common,humble,6,https://github.com/clearpathrobotics/ewellix_lift_common,github.com
clearpathrobotics/ptz_action_server,humble,1,https://github.com/clearpathrobotics/ptz_action_server,github.com
clearpathrobotics/puma_motor_driver,humble,3,https://github.com/clearpathrobotics/puma_motor_driver,github.com
clearpathrobotics/robot_upstart,humble,1,https://github.com/clearpathrobotics/robot_upstart,github.com
clearpathrobotics/simple-term-menu,humble,1,https://github.com/clearpathrobotics/simple-term-menu,github.com
clearpathrobotics/wireless,humble,2,https://github.com/clearpathrobotics/wireless,github.com
coal-library/coal,humble,1,https://github.com/coal-library/coal,github.com
cra-ros-pkg/robot_localization,humble,1,https://github.com/cra-ros-pkg/robot_localization,github.com
cubicleguy/ess_imu_driver2,humble,1,https://github.com/cubicleguy/ess_imu_driver2,github.com
cyberbotics/webots_ros2,humble,14,https://github.com/cyberbotics/webots_ros2,github.com
damanikjosh/heightmap_spawner,humble,1,https://github.com/damanikjosh/heightmap_spawner,github.com
dfki-ric/better_launch,humble,1,https://github.com/dfki-ric/better_launch,github.com
dynamixel-community/dynamixel_hardware,humble,2,https://github.com/dynamixel-community/dynamixel_hardware,github.com
eProsima/Fast-DDS,humble,1,https://github.com/eProsima/Fast-DDS,github.com
eProsima/foonathan_memory_vendor,humble,1,https://github.com/eProsima/foonathan_memory_vendor,github.com
eclipse-cyclonedds/cyclonedds,humble,1,https://github.com/eclipse-cyclonedds/cyclonedds,github.com
eclipse-ecal/ecal,humble,1,https://github.com/eclipse-ecal/ecal,github.com
eclipse-iceoryx/iceoryx,humble,4,https://github.com/eclipse-iceoryx/iceoryx,github.com
eclipse-zenoh/zenoh-plugin-dds,humble,1,https://github.com/eclipse-zenoh/zenoh-plugin-dds,github.com
ethz-asl/grid_map_geo,humble,2,https://github.com/ethz-asl/grid_map_geo,github.com
ethz-asl/libnabo,humble,1,https://github.com/ethz-asl/libnabo,github.com
eurogroep/fadecandy_ros,humble,2,https://github.com/eurogroep/fadecandy_ros,github.com
facontidavide/PlotJuggler,humble,1,https://github.com/facontidavide/PlotJuggler,github.com
facontidavide/cloudini,humble,2,https://github.com/facontidavide/cloudini,github.com
facontidavide/plotjuggler_msgs,humble,1,https://github.com/facontidavide/plotjuggler_msgs,github.com
facontidavide/rosx_introspection,humble,1,https://github.com/facontidavide/rosx_introspection,github.com
fictionlab/ros_aruco_opencv,humble,2,https://github.com/fictionlab/ros_aruco_opencv,github.com
fictionlab/rosbag2_to_video,humble,1,https://github.com/fictionlab/rosbag2_to_video,github.com
fkie/async_web_server_cpp,humble,1,https://github.com/fkie/async_web_server_cpp,github.com
fkie/message_filters,humble,1,https://github.com/fkie/message_filters,github.com
fkie/potree_rviz_plugin,humble,1,https://github.com/fkie/potree_rviz_plugin,github.com
flexbe/flexbe_app,humble,1,https://github.com/flexbe/flexbe_app,github.com
flexbe/flexbe_behavior_engine,humble,9,https://github.com/flexbe/flexbe_behavior_engine,github.com
flynneva/bno055,humble,1,https://github.com/flynneva/bno055,github.com
flynneva/grbl_msgs,humble,1,https://github.com/flynneva/grbl_msgs,github.com
flynneva/grbl_ros,humble,1,https://github.com/flynneva/grbl_ros,github.com
flynneva/udp_msgs,humble,1,https://github.com/flynneva/udp_msgs,github.com
fmrico/cascade_lifecycle,humble,2,https://github.com/fmrico/cascade_lifecycle,github.com
fmrico/popf,humble,1,https://github.com/fmrico/popf,github.com
foxglove/foxglove-sdk,humble,2,https://github.com/foxglove/foxglove-sdk,github.com
frankaemika/franka_description,humble,1,https://github.com/frankaemika/franka_description,github.com
frankaemika/franka_ros2,humble,13,https://github.com/frankaemika/franka_ros2,github.com
frankaemika/libfranka,humble,1,https://github.com/frankaemika/libfranka,github.com
fujitatomoya/rcl_logging_syslog,humble,1,https://github.com/fujitatomoya/rcl_logging_syslog,github.com
fujitatomoya/ros2_persist_parameter_server,humble,1,https://github.com/fujitatomoya/ros2_persist_parameter_server,github.com
fujitatomoya/ros2ai,humble,1,https://github.com/fujitatomoya/ros2ai,github.com
fzi-forschungszentrum-informatik/lanelet2,humble,11,https://github.com/fzi-forschungszentrum-informatik/lanelet2,github.com
gazebosim/ros_gz,humble,13,https://github.com/gazebosim/ros_gz,github.com
gstavrinos/doom_ros,humble,1,https://github.com/gstavrinos/doom_ros,github.com
gstavrinos/odom_to_tf_ros2,humble,1,https://github.com/gstavrinos/odom_to_tf_ros2,github.com
hatchbed/hatchbed_common,humble,1,https://github.com/hatchbed/hatchbed_common,github.com
hatchbed/log_view,humble,1,https://github.com/hatchbed/log_view,github.com
husarion/husarion_components_description,humble,1,https://github.com/husarion/husarion_components_description,github.com
