full_name,repo_url_normalized,host,distros,n_distros,n_packages_total,resolved_via_breakdown
cyberbotics/webots_ros2,https://github.com/cyberbotics/webots_ros2,github.com,humble|jazzy|kilted,3,14,rosdistro_release_packages:42
ros2/common_interfaces,https://github.com/ros2/common_interfaces,github.com,humble|jazzy|kilted,3,13,rosdistro_release_packages:39
ros-industrial/ros2_canopen,https://github.com/ros-industrial/ros2_canopen,github.com,humble|jazzy|kilted,3,13,rosdistro_release_packages:39
frankaemika/franka_ros2,https://github.com/frankaemika/franka_ros2,github.com,humble,1,13,rosdistro_release_packages:12;index_html_checkout_uri:1
husarion/husarion_ugv_ros,https://github.com/husarion/husarion_ugv_ros,github.com,humble|jazzy,2,13,index_html_checkout_uri:22;rosdistro_release_packages:4
MRPT/mrpt_ros,https://github.com/MRPT/mrpt_ros,github.com,humble|jazzy|kilted,3,13,rosdistro_release_packages:39
IntelligentRoboticsLabs/ros2_planning_system,https://github.com/IntelligentRoboticsLabs/ros2_planning_system,github.com,humble,1,13,rosdistro_release_packages:13
open-rmf/rmf_internal_msgs,https://github.com/open-rmf/rmf_internal_msgs,github.com,humble|jazzy|kilted,3,13,rosdistro_release_packages:37
gazebosim/ros_gz,https://github.com/gazebosim/ros_gz,github.com,humble|jazzy|kilted,3,13,rosdistro_release_packages:24;index_html_checkout_uri:3
introlab/rtabmap_ros,https://github.com/introlab/rtabmap_ros,github.com,humble|jazzy|kilted,3,13,rosdistro_release_packages:39
locusrobotics/fuse,https://github.com/locusrobotics/fuse,github.com,jazzy|kilted,2,13,rosdistro_release_packages:26
Tonywelte/rosidlcpp,https://github.com/Tonywelte/rosidlcpp,github.com,jazzy|kilted,2,13,rosdistro_release_packages:26
autowarefoundation/autoware_utils,https://github.com/autowarefoundation/autoware_utils,github.com,humble|jazzy,2,12,rosdistro_release_packages:24
clearpathrobotics/clearpath_common,https://github.com/clearpathrobotics/clearpath_common,github.com,humble|jazzy,2,12,rosdistro_release_packages:22
EasyNavigation/EasyNavigation,https://github.com/EasyNavigation/EasyNavigation,github.com,jazzy|kilted,2,12,rosdistro_release_packages:24
autowarefoundation/autoware_msgs,https://github.com/autowarefoundation/autoware_msgs,github.com,humble|jazzy|kilted,3,11,rosdistro_release_packages:33
ros-controls/ros2_control,https://github.com/ros-controls/ros2_control,github.com,humble|jazzy|kilted,3,11,rosdistro_release_packages:33
fzi-forschungszentrum-informatik/lanelet2,https://github.com/fzi-forschungszentrum-informatik/lanelet2,github.com,humble|jazzy|kilted,3,11,rosdistro_release_packages:33
swri-robotics/marti_common,https://github.com/swri-robotics/marti_common,github.com,humble|jazzy|kilted,3,11,rosdistro_release_packages:33
ROBOTIS-GIT/ai_worker,https://github.com/ROBOTIS-GIT/ai_worker,github.com,jazzy|kilted,2,11,rosdistro_release_packages:11;index_html_checkout_uri:11
ros2/rcl_interfaces,https://github.com/ros2/rcl_interfaces,github.com,humble|jazzy|kilted,3,10,rosdistro_release_packages:28
Ekumen-OS/andino,https://github.com/Ekumen-OS/andino,github.com,humble,1,10,rosdistro_release_packages:10
ros2/ros2_tracing,https://github.com/ros2/ros2_tracing,github.com,humble|jazzy|kilted,3,10,rosdistro_release_packages:20;index_html_checkout_uri:8
husarion/rosbot_ros,https://github.com/husarion/rosbot_ros,github.com,humble|jazzy,2,10,index_html_checkout_uri:19
tuw-robotics/tuw_msgs,https://github.com/tuw-robotics/tuw_msgs,github.com,humble|jazzy|kilted,3,10,rosdistro_release_packages:30
Ekumen-OS/beluga,https://github.com/Ekumen-OS/beluga,github.com,humble|jazzy|kilted,3,9,index_html_checkout_uri:18;rosdistro_release_packages:9
ros-perception/image_pipeline,https://github.com/ros-perception/image_pipeline,github.com,humble|jazzy|kilted,3,9,rosdistro_release_packages:27
flexbe/flexbe_behavior_engine,https://github.com/flexbe/flexbe_behavior_engine,github.com,humble|jazzy|kilted,3,9,rosdistro_release_packages:27
ros-sports/game_controller_spl,https://github.com/ros-sports/game_controller_spl,github.com,humble|jazzy|kilted,3,9,rosdistro_release_packages:13
iRobotEducation/create3_sim,https://github.com/iRobotEducation/create3_sim,github.com,humble|jazzy,2,9,rosdistro_release_packages:14;index_html_checkout_uri:4
swri-robotics/marti_messages,https://github.com/swri-robotics/marti_messages,github.com,humble|jazzy|kilted,3,9,rosdistro_release_packages:27
DFKI-NI/mir_robot,https://github.com/DFKI-NI/mir_robot,github.com,humble|jazzy|kilted,3,9,index_html_checkout_uri:8;rosdistro_repo_key_name_match:3
MOCAP4ROS2-Project/mocap4r2,https://github.com/MOCAP4ROS2-Project/mocap4r2,github.com,humble,1,9,rosdistro_release_packages:9
mrpt-ros-pkg/mrpt_navigation,https://github.com/mrpt-ros-pkg/mrpt_navigation,github.com,humble|jazzy|kilted,3,9,rosdistro_release_packages:27
ros2/rviz,https://github.com/ros2/rviz,github.com,humble|jazzy|kilted,3,9,rosdistro_release_packages:25
astuff/astuff_sensor_msgs,https://github.com/astuff/astuff_sensor_msgs,github.com,humble|jazzy|kilted,3,8,rosdistro_release_packages:24
stonier/ecl_lite,https://github.com/stonier/ecl_lite,github.com,humble|jazzy|kilted,3,8,rosdistro_release_packages:24
mrpt-ros-pkg/mrpt_sensors,https://github.com/mrpt-ros-pkg/mrpt_sensors,github.com,humble|jazzy|kilted,3,8,rosdistro_release_packages:21;index_html_checkout_uri:3
open-navigation/opennav_docking,https://github.com/open-navigation/opennav_docking,github.com,humble,1,8,rosdistro_release_packages:4;index_html_checkout_uri:4
ros-sports/r2r_spl,https://github.com/ros-sports/r2r_spl,github.com,humble|jazzy|kilted,3,8,rosdistro_release_packages:14;index_html_checkout_uri:8;rosdistro_repo_key_name_match:2
open-rmf/rmf_visualization,https://github.com/open-rmf/rmf_visualization,github.com,humble|jazzy|kilted,3,8,rosdistro_release_packages:24
ROBOTIS-GIT/turtlebot3,https://github.com/ROBOTIS-GIT/turtlebot3,github.com,humble|jazzy|kilted,3,8,rosdistro_release_packages:24
ROBOTIS-GIT/turtlebot3_manipulation,https://github.com/ROBOTIS-GIT/turtlebot3_manipulation,github.com,humble|jazzy|kilted,3,8,rosdistro_release_packages:16;index_html_checkout_uri:7;rosdistro_repo_key_name_match:1
PickNikRobotics/generate_parameter_library,https://github.com/PickNikRobotics/generate_parameter_library,github.com,humble|jazzy|kilted,3,7,index_html_checkout_uri:12;rosdistro_release_packages:9
luxonis/depthai-ros,https://github.com/luxonis/depthai-ros,github.com,humble|jazzy|kilted,3,7,rosdistro_release_packages:21
ros-planning/moveit_resources,https://github.com/ros-planning/moveit_resources,github.com,humble|jazzy|kilted,3,7,rosdistro_release_packages:20;index_html_checkout_uri:1
Kinovarobotics/ros2_kortex,https://github.com/Kinovarobotics/ros2_kortex,github.com,humble|jazzy,2,7,rosdistro_release_packages:14
ros2/launch,https://github.com/ros2/launch,github.com,humble|jazzy|kilted,3,7,rosdistro_release_packages:18;index_html_checkout_uri:3
open-rmf/rmf_demos,https://github.com/open-rmf/rmf_demos,github.com,humble|jazzy|kilted,3,7,rosdistro_release_packages:11;index_html_checkout_uri:8;rosdistro_repo_key_name_match:2
open-rmf/rmf_ros2,https://github.com/open-rmf/rmf_ros2,github.com,humble|jazzy|kilted,3,7,rosdistro_release_packages:18
RobotWebTools/rosbridge_suite,https://github.com/RobotWebTools/rosbridge_suite,github.com,humble|jazzy|kilted,3,7,rosdistro_release_packages:21
ROBOTIS-GIT/turtlebot3_applications,https://github.com/ROBOTIS-GIT/turtlebot3_applications,github.com,humble|jazzy,2,7,rosdistro_release_packages:14
turtlebot/turtlebot4_simulator,https://github.com/turtlebot/turtlebot4_simulator,github.com,humble|jazzy,2,7,rosdistro_release_packages:8
UniversalRobots/Universal_Robots_ROS2_Driver,https://github.com/UniversalRobots/Universal_Robots_ROS2_Driver,github.com,humble|jazzy|kilted,3,7,rosdistro_release_packages:19
uleroboticsgroup/yasmin,https://github.com/uleroboticsgroup/yasmin,github.com,humble|jazzy|kilted,3,7,rosdistro_release_packages:21
AutoAPMS/auto-apms,https://github.com/AutoAPMS/auto-apms,github.com,jazzy|kilted,2,7,rosdistro_release_packages:14
fkie/fkie-multi-agent-suite,https://github.com/fkie/fkie-multi-agent-suite,github.com,jazzy,1,7,index_html_checkout_uri:7
tier4/agnocast,https://github.com/tier4/agnocast,github.com,humble,1,6,rosdistro_release_packages:6
autowarefoundation/autoware_internal_msgs,https://github.com/autowarefoundation/autoware_internal_msgs,github.com,humble|jazzy|kilted,3,6,rosdistro_release_packages:17;index_html_checkout_uri:1
autowarefoundation/autoware_rviz_plugins,https://github.com/autowarefoundation/autoware_rviz_plugins,github.com,humble,1,6,index_html_checkout_uri:6
ros/bond_core,https://github.com/ros/bond_core,github.com,humble|jazzy|kilted,3,6,rosdistro_release_packages:15;index_html_checkout_uri:3
ros-perception/image_common,https://github.com/ros-perception/image_common,github.com,humble|jazzy|kilted,3,6,rosdistro_release_packages:16
rt-net/crane_plus,https://github.com/rt-net/crane_plus,github.com,humble|jazzy,2,6,rosdistro_release_packages:12
iRobotEducation/create3_examples,https://github.com/iRobotEducation/create3_examples,github.com,humble|jazzy,2,6,rosdistro_release_packages:12
ros2/variants,https://github.com/ros2/variants,github.com,humble|jazzy|kilted,3,6,rosdistro_release_packages:18
ros/diagnostics,https://github.com/ros/diagnostics,github.com,humble|jazzy|kilted,3,6,rosdistro_release_packages:18
clearpathrobotics/ewellix_lift_common,https://github.com/clearpathrobotics/ewellix_lift_common,github.com,humble|jazzy,2,6,rosdistro_release_packages:12
ros-drivers/joystick_drivers,https://github.com/ros-drivers/joystick_drivers,github.com,humble|jazzy|kilted,3,6,rosdistro_release_packages:18
moveit/moveit_task_constructor,https://github.com/moveit/moveit_task_constructor,github.com,humble|jazzy|kilted,3,6,rosdistro_release_packages:18
aussierobots/ublox_dgnss,https://github.com/aussierobots/ublox_dgnss,github.com,humble|jazzy|kilted,3,6,rosdistro_release_packages:18
ros-visualization/qt_gui_core,https://github.com/ros-visualization/qt_gui_core,github.com,humble|jazzy|kilted,3,6,rosdistro_release_packages:18
open-rmf/rmf_simulation,https://github.com/open-rmf/rmf_simulation,github.com,humble|jazzy|kilted,3,6,rosdistro_release_packages:12
ros-sports/soccer_interfaces,https://github.com/ros-sports/soccer_interfaces,github.com,humble|jazzy|kilted,3,6,rosdistro_release_packages:16
pal-robotics/talos_robot,https://github.com/pal-robotics/talos_robot,github.com,humble,1,6,rosdistro_release_packages:6
ros2/system_tests,https://github.com/ros2/system_tests,github.com,humble|jazzy|kilted,3,6,index_html_checkout_uri:18
ros2/ament_cmake_ros,https://github.com/ros2/ament_cmake_ros,github.com,humble|jazzy|kilted,3,5,rosdistro_release_packages:9
ros-misc-utilities/apriltag_detector,https://github.com/ros-misc-utilities/apriltag_detector,github.com,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
blackcoffeerobotics/bcr_arm,https://github.com/blackcoffeerobotics/bcr_arm,github.com,humble|jazzy,2,5,rosdistro_release_packages:10
ros-perception/image_transport_plugins,https://github.com/ros-perception/image_transport_plugins,github.com,humble|jazzy|kilted,3,5,rosdistro_release_packages:14
IMRCLab/crazyswarm2,https://github.com/IMRCLab/crazyswarm2,github.com,humble|jazzy,2,5,rosdistro_release_packages:10
AutonomyLab/create_robot,https://github.com/AutonomyLab/create_robot,github.com,humble,1,5,rosdistro_release_packages:5
chapulina/dolly,https://github.com/chapulina/dolly,github.com,humble|jazzy|kilted,3,5,rosdistro_release_packages:12;index_html_checkout_uri:3
ros-perception/point_cloud_transport_plugins,https://github.com/ros-perception/point_cloud_transport_plugins,github.com,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
ros-simulation/gazebo_ros_pkgs,https://github.com/ros-simulation/gazebo_ros_pkgs,github.com,humble|jazzy,2,5,rosdistro_release_packages:5;index_html_checkout_uri:3
ros-controls/gz_ros2_control,https://github.com/ros-controls/gz_ros2_control,github.com,humble|jazzy|kilted,3,5,rosdistro_release_packages:9;index_html_checkout_uri:2
ros-teleop/teleop_tools,https://github.com/ros-teleop/teleop_tools,github.com,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
micro-ROS/system_modes,https://github.com/micro-ROS/system_modes,github.com,humble|jazzy|kilted,3,5,rosdistro_release_packages:12;index_html_checkout_uri:3
mavlink/mavros,https://github.com/mavlink/mavros,github.com,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
swri-robotics/mapviz,https://github.com/swri-robotics/mapviz,github.com,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
LORD-MicroStrain/microstrain_inertial,https://github.com/LORD-MicroStrain/microstrain_inertial,github.com,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
MOLAorg/mola_state_estimation,https://github.com/MOLAorg/mola_state_estimation,github.com,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
pal-robotics/pal_pro_gripper,https://github.com/pal-robotics/pal_pro_gripper,github.com,humble,1,5,rosdistro_release_packages:5
IntelRealSense/realsense-ros,https://github.com/IntelRealSense/realsense-ros,github.com,humble|jazzy|kilted,3,5,rosdistro_release_packages:9;index_html_checkout_uri:6
ros-visualization/rqt,https://github.com/ros-visualization/rqt,github.com,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
ROBOTIS-GIT/turtlebot3_home_service_challenge,https://github.com/ROBOTIS-GIT/turtlebot3_home_service_challenge,github.com,humble|jazzy,2,5,rosdistro_release_packages:10
turtlebot/turtlebot4_robot,https://github.com/turtlebot/turtlebot4_robot,github.com,humble|jazzy,2,5,rosdistro_release_packages:10
ros-drivers/velodyne,https://github.com/ros-drivers/velodyne,github.com,humble|jazzy|kilted,3,5,rosdistro_release_packages:15
alliedvision/vimbax_ros2_driver,https://github.com/alliedvision/vimbax_ros2_driver,github.com,humble,1,5,rosdistro_release_packages:5
MoffKalast/vizanti,https://github.com/MoffKalast/vizanti,github.com,humble|jazzy,2,5,index_html_checkout_uri:8;rosdistro_repo_key_name_match:2
whill-labs/ros2_whill,https://github.com/whill-labs/ros2_whill,github.com,humble,1,5,index_html_checkout_uri:4;rosdistro_repo_key_name_match:1
ctu-vras/compass,https://github.com/ctu-vras/compass,github.com,jazzy|kilted,2,5,rosdistro_release_packages:10
EasyNavigation/NavMap,https://github.com/EasyNavigation/NavMap,github.com,jazzy|kilted,2,5,rosdistro_release_packages:10
ros-drivers/transport_drivers,https://github.com/ros-drivers/transport_drivers,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
tier4/callback_isolated_executor,https://github.com/tier4/callback_isolated_executor,github.com,humble,1,4,index_html_checkout_uri:3;rosdistro_repo_key_name_match:1
clearpathrobotics/clearpath_desktop,https://github.com/clearpathrobotics/clearpath_desktop,github.com,humble|jazzy,2,4,rosdistro_release_packages:7
4am-robotics/cob_common,https://github.com/4am-robotics/cob_common,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:9;rosdistro_repo_key_name_match:3
ros-perception/vision_opencv,https://github.com/ros-perception/vision_opencv,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:9;index_html_checkout_uri:1
ros/executive_smach,https://github.com/ros/executive_smach,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
ros-drivers/flir_camera_driver,https://github.com/ros-drivers/flir_camera_driver,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
42dot/foros,https://github.com/42dot/foros,github.com,humble,1,4,rosdistro_release_packages:4
unisa-acg/inverse-dynamics-solver,https://github.com/unisa-acg/inverse-dynamics-solver,github.com,humble|jazzy,2,4,rosdistro_release_packages:8
nlamprian/gazebo_video_monitors,https://github.com/nlamprian/gazebo_video_monitors,github.com,humble,1,4,rosdistro_release_packages:4
swri-robotics/gps_umd,https://github.com/swri-robotics/gps_umd,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
eclipse-iceoryx/iceoryx,https://github.com/eclipse-iceoryx/iceoryx,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
CCNYRoboticsLab/imu_tools,https://github.com/CCNYRoboticsLab/imu_tools,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
ros2/launch_ros,https://github.com/ros2/launch_ros,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:9;index_html_checkout_uri:3
LeoRover/leo_common-ros2,https://github.com/LeoRover/leo_common-ros2,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
LeoRover/leo_robot-ros2,https://github.com/LeoRover/leo_robot-ros2,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
LeoRover/leo_simulator-ros2,https://github.com/LeoRover/leo_simulator-ros2,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
naturerobots/move_base_flex,https://github.com/naturerobots/move_base_flex,github.com,humble|jazzy,2,4,index_html_checkout_uri:6;rosdistro_repo_key_name_match:2
micro-ROS/micro_ros_diagnostics,https://github.com/micro-ROS/micro_ros_diagnostics,github.com,humble|jazzy|kilted,3,4,index_html_checkout_uri:6;rosdistro_release_packages:6
ros-sports/nao_lola,https://github.com/ros-sports/nao_lola,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:9
pal-robotics/omni_base_navigation,https://github.com/pal-robotics/omni_base_navigation,github.com,humble,1,4,rosdistro_release_packages:4
pal-robotics/omni_base_robot,https://github.com/pal-robotics/omni_base_robot,github.com,humble,1,4,rosdistro_release_packages:4
reazon-research/openarm_ros2,https://github.com/reazon-research/openarm_ros2,github.com,humble,1,4,index_html_checkout_uri:3;rosdistro_repo_key_name_match:1
pal-robotics/pal_gripper,https://github.com/pal-robotics/pal_gripper,github.com,humble,1,4,rosdistro_release_packages:4
pal-robotics/pal_sea_arm,https://github.com/pal-robotics/pal_sea_arm,github.com,humble,1,4,rosdistro_release_packages:4
pal-robotics/pmb2_navigation,https://github.com/pal-robotics/pmb2_navigation,github.com,humble,1,4,rosdistro_release_packages:4
pal-robotics/pmb2_robot,https://github.com/pal-robotics/pmb2_robot,github.com,humble,1,4,rosdistro_release_packages:4
MetroRobots/polygon_ros,https://github.com/MetroRobots/polygon_ros,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
rt-net/raspimouse_slam_navigation_ros2,https://github.com/rt-net/raspimouse_slam_navigation_ros2,github.com,humble|jazzy,2,4,rosdistro_release_packages:6;index_html_checkout_uri:1
ros2/rcl,https://github.com/ros2/rcl,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
ros2/rclc,https://github.com/ros2/rclc,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
ros2/rclcpp,https://github.com/ros2/rclcpp,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
ros-sports/rcss3d_agent,https://github.com/ros-sports/rcss3d_agent,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:11
open-rmf/rmf_traffic_editor,https://github.com/open-rmf/rmf_traffic_editor,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
ros2/rmw_connextdds,https://github.com/ros2/rmw_connextdds,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:9;index_html_checkout_uri:3
ros-tooling/graph-monitor,https://github.com/ros-tooling/graph-monitor,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:9;index_html_checkout_uri:3
ros2/rmw_zenoh,https://github.com/ros2/rmw_zenoh,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:9;index_html_checkout_uri:3
PickNikRobotics/ros2_robotiq_gripper,https://github.com/PickNikRobotics/ros2_robotiq_gripper,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:6;index_html_checkout_uri:6
ose-support-ros/stcamera_ros2,https://github.com/ose-support-ros/stcamera_ros2,github.com,humble,1,4,index_html_checkout_uri:4
pal-robotics/tiago_navigation,https://github.com/pal-robotics/tiago_navigation,github.com,humble,1,4,rosdistro_release_packages:4
pal-robotics/tiago_robot,https://github.com/pal-robotics/tiago_robot,github.com,humble,1,4,rosdistro_release_packages:4
pal-robotics/tiago_pro_navigation,https://github.com/pal-robotics/tiago_pro_navigation,github.com,humble,1,4,rosdistro_release_packages:4
pal-robotics/tiago_pro_robot,https://github.com/pal-robotics/tiago_pro_robot,github.com,humble,1,4,rosdistro_release_packages:4
pal-robotics/tiago_pro_head_robot,https://github.com/pal-robotics/tiago_pro_head_robot,github.com,humble,1,4,rosdistro_release_packages:4
ROBOTIS-GIT/turtlebot3_autorace,https://github.com/ROBOTIS-GIT/turtlebot3_autorace,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:8;index_html_checkout_uri:3;rosdistro_repo_key_name_match:1
ROBOTIS-GIT/turtlebot3_simulations,https://github.com/ROBOTIS-GIT/turtlebot3_simulations,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:10
turtlebot/turtlebot4_tutorials,https://github.com/turtlebot/turtlebot4_tutorials,github.com,humble,1,4,rosdistro_release_packages:3;index_html_checkout_uri:1
turtlebot/turtlebot4,https://github.com/turtlebot/turtlebot4,github.com,humble|jazzy,2,4,rosdistro_release_packages:8
KumarRobotics/ublox,https://github.com/KumarRobotics/ublox,github.com,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
ycheng517/ar4_ros_driver,https://github.com/ycheng517/ar4_ros_driver,github.com,jazzy,1,4,index_html_checkout_uri:4
ctu-vras/ros-utils,https://github.com/ctu-vras/ros-utils,github.com,jazzy|kilted,2,4,rosdistro_release_packages:8
LeoRover/leo_examples-ros2,https://github.com/LeoRover/leo_examples-ros2,github.com,jazzy|kilted,2,4,rosdistro_release_packages:4;index_html_checkout_uri:1;rosdistro_repo_key_name_match:1
RaphRover/raph_common,https://github.com/RaphRover/raph_common,github.com,jazzy,1,4,rosdistro_release_packages:4
tuw-robotics/tuw_robotics,https://github.com/tuw-robotics/tuw_robotics,github.com,jazzy,1,4,index_html_checkout_uri:3;rosdistro_repo_key_name_match:1
analogdevicesinc/adi_tmc_coe_ros2,https://github.com/analogdevicesinc/adi_tmc_coe_ros2,github.com,humble,1,3,index_html_checkout_uri:2;rosdistro_repo_key_name_match:1
pal-robotics/aruco_ros,https://github.com/pal-robotics/aruco_ros,github.com,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
astuff/automotive_autonomy_msgs,https://github.com/astuff/automotive_autonomy_msgs,github.com,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
ros-drivers/axis_camera,https://github.com/ros-drivers/axis_camera,github.com,humble|jazzy,2,3,rosdistro_release_packages:6
MetroRobots/metro_nav,https://github.com/MetroRobots/metro_nav,github.com,humble,1,3,rosdistro_release_packages:2;index_html_checkout_uri:1
boschglobal/locator_ros_bridge,https://github.com/boschglobal/locator_ros_bridge,github.com,humble,1,3,rosdistro_release_packages:2;index_html_checkout_uri:1
ros2/cartographer_ros,https://github.com/ros2/cartographer_ros,github.com,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
fmrico/cascade_lifecycle,https://github.com/fmrico/cascade_lifecycle,github.com,humble|jazzy|kilted,3,3,rosdistro_release_packages:7;index_html_checkout_uri:1
clearpathrobotics/clearpath_simulator,https://github.com/clearpathrobotics/clearpath_simulator,github.com,humble|jazzy,2,3,rosdistro_release_packages:6
clearpathrobotics/puma_motor_driver,https://github.com/clearpathrobotics/puma_motor_driver,github.com,humble,1,3,rosdistro_release_packages:3
MetroRobots/metrics_msgs,https://github.com/MetroRobots/metrics_msgs,github.com,humble,1,3,rosdistro_release_packages:3
octomap/octomap,https://github.com/octomap/octomap,github.com,humble|jazzy,2,3,rosdistro_release_packages:6
ROBOTIS-GIT/DynamixelSDK,https://github.com/ROBOTIS-GIT/DynamixelSDK,github.com,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
stonier/ecl_tools,https://github.com/stonier/ecl_tools,github.com,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
Ikerlan-KER/extrinsic_calibrator,https://github.com/Ikerlan-KER/extrinsic_calibrator,github.com,humble,1,3,index_html_checkout_uri:2;rosdistro_repo_key_name_match:1
ros2/rosidl_typesupport_fastrtps,https://github.com/ros2/rosidl_typesupport_fastrtps,github.com,humble|jazzy|kilted,3,3,rosdistro_release_packages:8
ros-geographic-info/geographic_info,https://github.com/ros-geographic-info/geographic_info,github.com,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
