Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,contributors_count,commits_count,size,subscribers_count,watchers_count,languages,full_name,distros_present
franka_ros2,frankaemika,ROS 2 integration for Franka research robots,https://github.com/frankarobotics/franka_ros2,2852,293,204,90,robotics;ros2,Apache-2.0,True,True,False,False,False,22,531,2852,9,293,C++;Python;CMake;Dockerfile;C;Shell,frankarobotics/franka_ros2,humble
ros_gz,gazebosim,Integration between ROS (1 and 2) and Gazebo simulation,https://github.com/gazebosim/ros_gz,8268,475,202,72,cpp;gazebo;gazebosim;hacktoberfest;ignition;ignition-gazebo;ignition-transport;pubsub;robotics;robotics-simulation;ros;ros2;simulation;transport,Apache-2.0,True,True,False,False,False,73,581,8268,16,475,C++;Python;CMake;EmberScript,gazebosim/ros_gz,humble|jazzy|kilted
EasyNavigation,EasyNavigation,,https://github.com/EasyNavigation/EasyNavigation,48642,66,16,1,,GPL-3.0,True,False,False,False,False,5,353,48642,7,66,C++;Python;CMake,EasyNavigation/EasyNavigation,jazzy|kilted
autoware_msgs,autowarefoundation,,https://github.com/autowarefoundation/autoware_msgs,378,39,66,9,autoware;ros;ros2,Apache-2.0,True,True,True,True,False,26,115,378,15,39,CMake,autowarefoundation/autoware_msgs,humble|jazzy|kilted
ros2_control,ros-controls,Generic and simple controls framework for ROS 2,https://github.com/ros-controls/ros2_control,15320,807,402,116,control;control-systems;controllers;robot-control;robotics;ros;ros2;ros2-control;ros2-humble;ros2-jazzy;ros2-rolling,Apache-2.0,True,False,False,False,False,136,1310,15320,25,807,C++;Python;CMake;Dockerfile,ros-controls/ros2_control,humble|jazzy|kilted
lanelet2,fzi-forschungszentrum-informatik,Map handling framework for automated driving,https://github.com/fzi-forschungszentrum-informatik/Lanelet2,11215,917,347,8,,BSD-3-Clause,True,False,False,False,False,28,600,11215,31,917,C++;Python;CMake;HTML;Dockerfile,fzi-forschungszentrum-informatik/Lanelet2,humble|jazzy|kilted
marti_common,swri-robotics,Common utility functions for MARTI,https://github.com/swri-robotics/marti_common,2855,55,71,9,,BSD-3-Clause,True,False,False,False,False,28,725,2855,11,55,C++;Python;CMake;C;GLSL,swri-robotics/marti_common,humble|jazzy|kilted
ai_worker,ROBOTIS-GIT,AI Worker: FFW (Freedom From Work),https://github.com/ROBOTIS-GIT/ai_worker,51342,103,25,1,,Apache-2.0,True,True,False,False,False,9,530,51342,9,103,C++;Python;CMake;Shell;C,ROBOTIS-GIT/ai_worker,jazzy
rcl_interfaces,ros2,A repository for messages and services used by the ROS client libraries,https://github.com/ros2/rcl_interfaces,510,58,57,19,,Apache-2.0,True,True,False,False,False,37,245,510,24,58,C++;Python;CMake,ros2/rcl_interfaces,humble|jazzy|kilted
andino,Ekumen-OS,Open-source diff drive robot ROS 2 compatible,https://github.com/Ekumen-OS/andino,156552,294,74,16,differential-drive-robot;gazebo;gazebo-ros;gazebosim;humble;robotics;ros;ros2;ros2-control;urdf,,True,True,True,True,False,17,159,156552,16,294,C++;Python;Shell;CMake;Dockerfile,Ekumen-OS/andino,humble
tuw_msgs,tuw-robotics,non common ROS messages used by tuw pkgs ,https://github.com/tuw-robotics/tuw_msgs,447,6,12,0,,Other,True,False,False,False,False,14,289,447,11,6,C++;CMake,tuw-robotics/tuw_msgs,humble|jazzy|kilted
image_pipeline,ros-perception,An image processing pipeline for ROS.,https://github.com/ros-perception/image_pipeline,27237,926,768,55,c-plus-plus;image-processing;python;ros,Other,True,True,False,False,False,117,1248,27237,39,926,C++;Python;C;CMake,ros-perception/image_pipeline,humble|jazzy|kilted
flexbe_behavior_engine,flexbe,Contains the behavior engine FlexBE.,https://github.com/FlexBE/flexbe_behavior_engine,5840,66,18,2,,Other,True,True,False,False,False,24,561,5840,4,66,Python;Shell;CMake,FlexBE/flexbe_behavior_engine,humble|jazzy|kilted
game_controller_spl,ros-sports,ROS 2 Package to interface RoboCup Standard Platform League's Game Controller.,https://github.com/ros-sports/game_controller_spl,197,4,3,1,,Apache-2.0,True,True,False,False,False,3,117,197,1,4,Python;CMake,ros-sports/game_controller_spl,humble|jazzy|kilted
create3_sim,iRobotEducation,ROS 2 Simulation for the iRobot® Create® 3 Educational Robot,https://github.com/iRobotEducation/create3_sim,2327,126,74,41,,BSD-3-Clause,True,False,False,True,False,19,138,2327,14,126,C++;Python;CMake;QML,iRobotEducation/create3_sim,humble|jazzy
marti_messages,swri-robotics,Supplemental ROS messages for MARTI,https://github.com/swri-robotics/marti_messages,327,7,22,0,,BSD-3-Clause,True,False,False,False,False,8,188,327,11,7,CMake;C++,swri-robotics/marti_messages,humble|jazzy|kilted
mocap4r2,MOCAP4ROS2-Project,,https://github.com/MOCAP4ROS2-Project/mocap4r2,193,3,18,3,,Apache-2.0,True,False,False,False,False,4,65,193,3,3,C++;Python;CMake,MOCAP4ROS2-Project/mocap4r2,humble
mrpt_navigation,mrpt-ros-pkg,"ROS 2 nodes wrapping core MRPT functionality: localization, autonomous navigation, rawlogs, etc. SLAM is in other packages.",https://github.com/mrpt-ros-pkg/mrpt_navigation,35528,207,101,4,c-plus-plus;mapping;mrpt;navigation;robotics;robotics-libraries;ros;ros2,BSD-3-Clause,True,False,False,False,False,18,849,35528,12,207,C++;Python;CMake;Shell,mrpt-ros-pkg/mrpt_navigation,humble|jazzy|kilted
rviz,ros2,ROS 3D Robot Visualizer,https://github.com/ros2/rviz,20058,428,272,182,,BSD-3-Clause-Clear,True,False,False,False,False,202,2795,20058,27,428,C++;CMake;Python;GLSL;HTML;Shell,ros2/rviz,humble|jazzy|kilted
astuff_sensor_msgs,astuff,A set of messages specific to each sensor supported by AutonomouStuff.,https://github.com/astuff/astuff_sensor_msgs,408,49,43,1,ros;ros-msgs;ros-packages;ros2;sensors,MIT,True,False,False,False,False,15,193,408,5,49,CMake,astuff/astuff_sensor_msgs,humble|jazzy|kilted
ecl_lite,stonier,The ecl-lite stack includes packages with few dependencies on either system or c++ functionality. This makes it ideal for very embedded builds where many of the usual mechanisms are unavailable.  ,https://github.com/stonier/ecl_lite,304,8,28,8,,Other,True,False,False,False,False,7,128,304,3,8,C++;CMake,stonier/ecl_lite,humble|jazzy|kilted
r2r_spl,ros-sports,,https://github.com/ros-sports/r2r_spl,121,2,1,5,,Apache-2.0,True,True,False,False,False,2,68,121,1,2,Python;CMake,ros-sports/r2r_spl,humble|jazzy|kilted
rmf_visualization,open-rmf,Visualization tools for OpenRMF,https://github.com/open-rmf/rmf_visualization,1236,26,18,8,,Apache-2.0,True,False,False,False,False,16,305,1236,8,26,C++;Python;CMake,open-rmf/rmf_visualization,humble|jazzy|kilted
turtlebot3,ROBOTIS-GIT,ROS packages for Turtlebot3,https://github.com/ROBOTIS-GIT/turtlebot3,123134,1888,1127,6,dynamixel;gazebo;mobile;navigation;package;robot;robotis;ros;slam;turtlebot;turtlebot3,Apache-2.0,True,True,False,False,False,26,1024,123134,63,1888,C++;Python;CMake;Shell;Dockerfile;Lua,ROBOTIS-GIT/turtlebot3,humble|jazzy|kilted
turtlebot3_manipulation,ROBOTIS-GIT,OpenManipulator with TurtleBot3 packages,https://github.com/ROBOTIS-GIT/turtlebot3_manipulation,9638,83,46,5,arduino;dynamixel;gazebo;manipultor;moveit;openmanipultor;package;robot;robotis;ros;turtlebot;turtlebot3,Apache-2.0,True,True,False,False,False,6,304,9638,12,83,C++;Python;CMake;C;Lua,ROBOTIS-GIT/turtlebot3_manipulation,humble|jazzy|kilted
depthai-ros,luxonis,Official ROS Driver for DepthAI Sensors.,https://github.com/luxonis/depthai-ros,128054,327,234,197,camera;camera-driver;computer-vision;cv;depthai;robotics;ros,MIT,True,False,False,True,False,22,320,128054,16,327,C++;Python;CMake;Shell;Dockerfile,luxonis/depthai-ros,humble|jazzy|kilted
ros2_kortex,Kinovarobotics,ROS2 driver for the Gen3 Kinova robot arm,https://github.com/Kinovarobotics/ros2_kortex,23324,105,95,49,,Other,True,False,False,False,False,23,204,23324,10,105,Python;C++;CMake;C,Kinovarobotics/ros2_kortex,humble|jazzy
moveit_resources,ros-planning,"URDFs, meshes, and config packages for MoveIt testing",https://github.com/moveit/moveit_resources,37181,99,139,24,,,True,False,False,False,False,30,178,37181,20,99,Python;CMake,moveit/moveit_resources,humble|jazzy|kilted
mrpt_sensors,mrpt-ros-pkg,ROS2 nodes for robotics sensors via mrpt-hwdrivers,https://github.com/mrpt-ros-pkg/mrpt_sensors,302,8,1,1,c-plus-plus;mrpt;robotics;ros;sensors,BSD-3-Clause,True,False,False,False,False,2,102,302,2,8,C++;Python;CMake;Shell,mrpt-ros-pkg/mrpt_sensors,humble|jazzy|kilted
rmf_demos,open-rmf,Demonstrations of Open-RMF,https://github.com/open-rmf/rmf_demos,64763,468,139,50,,Apache-2.0,True,True,False,False,False,31,497,64763,16,468,Python;Shell;CMake,open-rmf/rmf_demos,humble|jazzy|kilted
rmf_ros2,open-rmf,Internal ROS infrastructure for RMF,https://github.com/open-rmf/rmf_ros2,4198,102,86,80,,Apache-2.0,True,True,False,False,False,29,628,4198,14,102,C++;Python;CMake;Dockerfile;Shell;HTML,open-rmf/rmf_ros2,humble|jazzy|kilted
ros2_tracing,ros2,Tracing tools for ROS 2.,https://github.com/ros2/ros2_tracing,3588,237,67,23,instrumentation;performance-analysis;ros;ros2;ros2-tracing;tools;tracing,Apache-2.0,True,True,False,False,False,30,1143,3588,21,237,Python;C++;C;CMake;Makefile,ros2/ros2_tracing,humble|jazzy|kilted
rosbridge_suite,RobotWebTools,Server Implementations of the rosbridge v2 Protocol,https://github.com/RobotWebTools/rosbridge_suite,3734,1162,576,32,,BSD-3-Clause,True,False,False,False,False,115,956,3734,39,1162,Python;CMake,RobotWebTools/rosbridge_suite,humble|jazzy|kilted
turtlebot3_applications,ROBOTIS-GIT,Applications for TurtleBot3,https://github.com/ROBOTIS-GIT/turtlebot3_applications,6875,105,51,0,dynamixel;gazebo;mobile;navigation;package;robot;robotis;ros;slam;turtlebot;turtlebot3,,True,True,False,False,False,11,441,6875,20,105,Python;C++;CMake,ROBOTIS-GIT/turtlebot3_applications,humble|jazzy
turtlebot4_simulator,turtlebot,TurtleBot 4 Simulator packages,https://github.com/turtlebot/turtlebot4_simulator,126,98,58,7,,Apache-2.0,True,False,False,True,False,7,101,126,14,98,Python;C++;QML;CMake,turtlebot/turtlebot4_simulator,humble|jazzy
Universal_Robots_ROS2_Driver,UniversalRobots,Universal Robots ROS2 driver supporting CB3 and e-Series,https://github.com/UniversalRobots/Universal_Robots_ROS2_Driver,46487,717,317,75,robotics;ros-industrial;ros2;ros2-foxy;ros2-galactic;ros2-humble;ros2-rolling,BSD-3-Clause,True,True,False,False,False,43,709,46487,14,717,C++;Python;CMake;Shell;Batchfile;Emacs Lisp,UniversalRobots/Universal_Robots_ROS2_Driver,humble|jazzy|kilted
yasmin,uleroboticsgroup,YASMIN (Yet Another State MachINe),https://github.com/uleroboticsgroup/yasmin,97978,239,44,0,cpp;python;ros2;ros2-foxy;ros2-galactic;ros2-humble;ros2-iron;ros2-jazzy;ros2-kilted;ros2-rolling;state-machine,GPL-3.0,True,False,False,False,False,22,576,97978,7,239,C++;Python;JavaScript;CMake;HTML;CSS;Dockerfile;Makefile;Shell,uleroboticsgroup/yasmin,humble|jazzy|kilted
auto-apms,AutoAPMS,A versatile framework for developing robot behaviors using behavior trees in ROS 2.,https://github.com/AutoAPMS/auto-apms,2389,85,7,1,autoapms;behavior;behavior-tree;control;mission;planning;robot;ros2;task,Apache-2.0,True,True,False,False,False,2,304,2389,3,85,C++;Python;CMake,AutoAPMS/auto-apms,jazzy|kilted
agnocast,tier4,"An rclcpp-compatible true zero-copy IPC middleware that supports all ROS message types, including message structs already generated by rosidl.",https://github.com/tier4/agnocast,2530,140,7,61,autoware;dds;inter-process-communication;ipc;kernel-module;middleware;publish-subscribe;pubsub;request-response;rmw;robotics;ros2;ros2-humble;ros2-jazzy;shared-memory;smart-pointer;zenoh;zero-copy;zero-copy-ipc,Apache-2.0,True,True,False,True,False,11,792,2530,7,140,C++;C;Python;Rust;CMake;Shell;Promela;Makefile;EmberScript,tier4/agnocast,humble
autoware_internal_msgs,autowarefoundation,,https://github.com/autowarefoundation/autoware_internal_msgs,143,2,29,6,,Apache-2.0,True,True,True,True,False,16,70,143,3,2,CMake,autowarefoundation/autoware_internal_msgs,humble|jazzy|kilted
image_common,ros-perception,Common code for working with images in ROS,https://github.com/ros-perception/image_common,1361,145,245,45,,,False,False,False,False,False,67,533,1361,18,145,C++;Python;CMake;C,ros-perception/image_common,humble|jazzy|kilted
crane_plus,rt-net,CRANE+ V2 ROS 2 Packages,https://github.com/rt-net/crane_plus,13320,59,9,5,crane-plus;robot;ros2,Apache-2.0,True,False,False,False,False,4,69,13320,3,59,C++;Python;CMake;C;Dockerfile;Shell,rt-net/crane_plus,humble|jazzy
create3_examples,iRobotEducation,Example nodes to drive the iRobot® Create® 3 Educational Robot,https://github.com/iRobotEducation/create3_examples,187,59,18,18,,BSD-3-Clause,True,False,False,False,False,6,104,187,10,59,C++;Python;CMake,iRobotEducation/create3_examples,humble|jazzy
variants,ros2,Variants for ROS 2 (implemented as ament packages),https://github.com/ros2/variants,87,10,12,0,,Apache-2.0,True,False,False,False,False,18,54,87,19,10,CMake,ros2/variants,humble|jazzy|kilted
diagnostics,ros,"Packages related to gathering, viewing, and analyzing diagnostics data from robots.",https://github.com/ros/diagnostics,9550,147,200,41,diagnostics;monitoring;ros,Other,True,False,False,False,False,61,1178,9550,16,147,C++;Python;CMake,ros/diagnostics,humble|jazzy|kilted
ewellix_lift_common,clearpathrobotics,"Ewellix TLT and UR lifts description, MoveIt config, and ROS interfaces",https://github.com/clearpathrobotics/ewellix_lift_common,2934,1,0,0,,BSD-3-Clause,True,False,False,False,False,2,46,2934,0,1,Python;CMake,clearpathrobotics/ewellix_lift_common,humble|jazzy
joystick_drivers,ros-drivers,ROS drivers for joysticks,https://github.com/ros-drivers/joystick_drivers,771,258,320,47,,,True,False,False,False,False,37,540,771,16,258,C++;Python;CMake;C,ros-drivers/joystick_drivers,humble|jazzy|kilted
launch,ros2,Tools for launching multiple processes and for writing tests involving multiple processes.,https://github.com/ros2/launch,2391,151,162,128,,Apache-2.0,True,True,False,False,False,83,639,2391,23,151,Python;CMake;C++;Batchfile;Makefile;Shell,ros2/launch,humble|jazzy|kilted
moveit_task_constructor,moveit,A hierarchical multi-stage manipulation planner,https://github.com/moveit/moveit_task_constructor,3413,253,175,115,,BSD-3-Clause,True,False,False,False,False,35,1432,3413,27,253,C++;Python;CMake;C,moveit/moveit_task_constructor,humble|jazzy|kilted
ublox_dgnss,aussierobots,"This usb based ROS2 driver is focused on UBLOX UBX messaging, for ZED-X20P, ZED-F9P and ZED-F9R devices. High precision data is available as well as moving base station configurations.",https://github.com/aussierobots/ublox_dgnss,595,71,44,6,dgnss;gps;gps-data;gps-location;high-precision;ntripcaster;ntripclient;ros2;ublox;ubx,Apache-2.0,True,False,False,False,False,11,270,595,4,71,C++;Python;CMake;C,aussierobots/ublox_dgnss,humble|jazzy|kilted
qt_gui_core,ros-visualization,,https://github.com/ros-visualization/qt_gui_core,2810,40,80,14,,BSD-3-Clause,False,False,False,False,False,45,888,2810,9,40,Python;C++;CMake;C,ros-visualization/qt_gui_core,humble|jazzy|kilted
rmf_simulation,open-rmf,Support plugins for simulating RMF scenarios,https://github.com/open-rmf/rmf_simulation,643,18,24,8,,Apache-2.0,True,True,False,False,False,14,110,643,12,18,C++;CMake;QML,open-rmf/rmf_simulation,humble|jazzy|kilted
soccer_interfaces,ros-sports,A set of packages which contain common soccer interface files,https://github.com/ros-sports/soccer_interfaces,11185,10,3,0,,Apache-2.0,True,False,False,False,False,4,124,11185,5,10,CMake,ros-sports/soccer_interfaces,humble|jazzy|kilted
talos_robot,pal-robotics,,https://github.com/pal-robotics/talos_robot,21003,25,18,6,biped;bipedal-robots;force-torque-sensor;grasping;humanoid-control;humanoid-robot;humanoid-walking;imu-sensor;mpc-control;robotics;ros;torque-control;torque-sensors;walking-robot;whole-body-control,Apache-2.0,False,False,False,False,False,15,877,21003,10,25,Python;CMake,pal-robotics/talos_robot,humble
ament_cmake_ros,ros2,,https://github.com/ros2/ament_cmake_ros,168,7,13,0,,Apache-2.0,False,True,False,False,False,25,89,168,20,7,C;CMake;Python;C++,ros2/ament_cmake_ros,humble|jazzy|kilted
apriltag_detector,ros-misc-utilities,ROS/ROS2 package tag detection using the UMich or MIT Apriltag library,https://github.com/ros-misc-utilities/apriltag_detector,1231,20,7,2,,,True,False,False,False,False,3,28,1231,1,20,C++;CMake;Python,ros-misc-utilities/apriltag_detector,humble|jazzy|kilted
bcr_arm,blackcoffeerobotics,"bcr arm: A 7-DOF robotic arm simulation with ROS2 Control, MoveIt motion planning, and support for ROS2 Humble, ROS2 Jazzy, GZ Fortress, GZ Harmonic, and NVIDIA Isaac Sim",https://github.com/blackcoffeerobotics/bcr_arm,8300,61,13,0,gazebo-simulator;isaac-sim;moveit2;ros2;ros2-jazzy,Apache-2.0,True,False,False,False,False,2,23,8300,1,61,Python;CMake,blackcoffeerobotics/bcr_arm,humble|jazzy
